epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.179,1.30263,24.5706,0.00835,0.00082,0.5,0.00449,0.00209,1.05212,28.5191,0.00853,0.000656085,0.000656085,0.000656085
2,1145.66,1.30587,17.2728,0.00883,0.42027,0.01923,0.02064,0.00901,1.62212,19.8504,0.01399,0.00129656,0.00129656,0.00129656
3,1696.83,1.43726,11.0089,0.01065,0.14946,0.07692,0.04117,0.01814,1.5292,12.0545,0.01322,0.00191064,0.00191064,0.00191064
4,2253.28,1.63446,7.43883,0.01163,0.26556,0.05769,0.04193,0.01717,1.83112,8.51674,0.01505,0.0018812,0.0018812,0.0018812
5,2802.12,1.68666,5.31743,0.01106,0.45336,0.15385,0.14359,0.04789,2.02957,9.67078,0.01779,0.0018416,0.0018416,0.0018416
6,3395.24,1.69183,4.45672,0.01245,0.05526,0.17308,0.04121,0.01994,1.79371,6.77894,0.01511,0.001802,0.001802,0.001802
7,4119.86,1.58824,3.70134,0.01115,0.13666,0.11538,0.06994,0.03533,1.86242,4.5157,0.01534,0.0017624,0.0017624,0.0017624
8,4834.52,1.5439,3.35208,0.0111,0.38683,0.25,0.19235,0.09519,1.65488,3.85486,0.01359,0.0017228,0.0017228,0.0017228
9,5566.97,1.61696,2.88906,0.01123,0.30809,0.26552,0.21908,0.10338,1.77118,3.56173,0.01483,0.0016832,0.0016832,0.0016832
10,6343.45,1.52271,2.65384,0.01071,0.37597,0.26923,0.20845,0.10342,1.79344,3.51057,0.01581,0.0016436,0.0016436,0.0016436
11,7066.88,1.46343,2.5989,0.01033,0.54749,0.25,0.30743,0.15466,1.55846,3.54574,0.0126,0.001604,0.001604,0.001604
12,7781.06,1.55725,2.50415,0.01097,0.38266,0.26923,0.24889,0.12762,1.49408,3.33744,0.01201,0.0015644,0.0015644,0.0015644
13,8485.75,1.40254,2.4012,0.00963,0.41216,0.30769,0.30814,0.17438,1.50922,3.44539,0.01204,0.0015248,0.0015248,0.0015248
14,9199.47,1.35367,2.09262,0.0089,0.56974,0.34615,0.39589,0.16137,1.83074,2.99697,0.0147,0.0014852,0.0014852,0.0014852
15,9885.91,1.42956,2.01482,0.00966,0.35087,0.46154,0.38689,0.19204,1.60568,3.46682,0.01332,0.0014456,0.0014456,0.0014456
16,10584.7,1.382,1.95461,0.00926,0.66951,0.42308,0.45252,0.26383,1.51307,2.84662,0.01274,0.001406,0.001406,0.001406
17,11284.1,1.31671,1.81861,0.00852,0.68273,0.36538,0.3969,0.24399,1.68077,2.96824,0.01412,0.0013664,0.0013664,0.0013664
18,11985.6,1.32896,1.84406,0.00946,0.44774,0.42308,0.32554,0.12113,1.83474,3.11219,0.01458,0.0013268,0.0013268,0.0013268
19,12685.3,1.2944,1.71181,0.00832,0.49419,0.36538,0.34701,0.20553,1.79614,2.71012,0.01499,0.0012872,0.0012872,0.0012872
20,13382.4,1.31193,1.69902,0.00923,0.62267,0.44231,0.45705,0.20663,1.85228,2.44792,0.01549,0.0012476,0.0012476,0.0012476
21,14086.7,1.22666,1.58472,0.00849,0.5465,0.46154,0.44609,0.26339,1.45814,2.57988,0.01173,0.001208,0.001208,0.001208
22,14784.5,1.25489,1.57928,0.00926,0.63236,0.42308,0.46921,0.30353,1.4965,2.84862,0.01243,0.0011684,0.0011684,0.0011684
23,15482.6,1.22666,1.48947,0.0083,0.65696,0.46154,0.52889,0.25539,1.79255,2.69539,0.01561,0.0011288,0.0011288,0.0011288
24,16180,1.24875,1.51565,0.00818,0.74021,0.42308,0.51666,0.28749,1.71657,2.57798,0.01367,0.0010892,0.0010892,0.0010892
25,16877.4,1.21551,1.45159,0.00776,0.62069,0.5,0.51934,0.33769,1.59925,2.46065,0.01275,0.0010496,0.0010496,0.0010496
26,17580.3,1.21783,1.36857,0.00813,0.61339,0.55769,0.53621,0.30497,1.64079,2.47529,0.01404,0.00101,0.00101,0.00101
27,18275,1.12431,1.25716,0.00769,0.6349,0.5,0.52275,0.29842,1.76349,2.79519,0.01499,0.0009704,0.0009704,0.0009704
28,18977.7,1.12817,1.27987,0.00754,0.8357,0.5,0.55048,0.30796,1.93265,2.43027,0.01624,0.0009308,0.0009308,0.0009308
29,19658,1.14197,1.24449,0.00719,0.62302,0.53846,0.50883,0.28883,1.99146,2.63794,0.01706,0.0008912,0.0008912,0.0008912
30,20327.3,1.10934,1.1646,0.00764,0.76699,0.5,0.58482,0.36577,1.73393,2.24903,0.01475,0.0008516,0.0008516,0.0008516
31,21001.7,1.05268,1.06338,0.00698,0.65645,0.51923,0.54239,0.29775,1.76092,2.50214,0.0147,0.000812,0.000812,0.000812
32,21670.9,1.13189,1.08096,0.0076,0.85712,0.46154,0.56939,0.3308,1.70543,2.40149,0.01383,0.0007724,0.0007724,0.0007724
33,22344.8,1.01474,0.98423,0.00619,0.78231,0.46154,0.56805,0.34854,1.64317,2.43122,0.01357,0.0007328,0.0007328,0.0007328
34,23024.3,1.02446,0.96316,0.00679,0.7304,0.57692,0.59396,0.37699,1.7142,2.33513,0.01374,0.0006932,0.0006932,0.0006932
35,23703.1,0.99822,0.99152,0.00599,0.71377,0.51923,0.52368,0.31882,1.6439,2.42314,0.01307,0.0006536,0.0006536,0.0006536
36,24368.9,1.01009,0.99321,0.00678,0.87367,0.53213,0.61549,0.36519,1.5915,2.34155,0.0125,0.000614,0.000614,0.000614
37,25043.3,0.93122,0.99455,0.00617,0.86693,0.51923,0.58353,0.34605,1.75066,2.30644,0.01443,0.0005744,0.0005744,0.0005744
38,25717.6,0.98678,0.91493,0.00636,0.78959,0.50529,0.56541,0.32903,1.84053,2.31095,0.01521,0.0005348,0.0005348,0.0005348
39,26388.4,0.92304,0.93372,0.00624,0.78822,0.50104,0.57349,0.32352,1.96307,2.24111,0.01647,0.0004952,0.0004952,0.0004952
40,27064.9,0.90784,0.90554,0.00551,0.79537,0.52331,0.60109,0.3544,1.78705,2.28365,0.01474,0.0004556,0.0004556,0.0004556
41,27735.7,0.84294,0.68043,0.00697,0.83581,0.53846,0.61268,0.34267,1.82136,2.31568,0.01523,0.000416,0.000416,0.000416
42,28409.9,0.8329,0.6352,0.00715,0.79272,0.55769,0.60206,0.3564,1.82935,2.31108,0.01491,0.0003764,0.0003764,0.0003764
43,29104.4,0.80893,0.67071,0.00661,0.74948,0.55769,0.57957,0.34977,1.9216,2.30164,0.016,0.0003368,0.0003368,0.0003368
44,29781.9,0.76831,0.55201,0.00655,0.79064,0.53846,0.59999,0.34137,1.86116,2.40026,0.01545,0.0002972,0.0002972,0.0002972
